purchase_date,item_name,item_price,customer_name
2019-06-13 18:02:34,商品A,100,深井菜々美
2019-07-13 13:05:29,商 品 S,,浅田賢二
2019-05-11 19:42:07,商 品 a,,南部慶二
2019-02-12 23:40:45,商品Z,2600,麻生莉緒
2019-04-22 03:09:35,商品a,,平田鉄二
2019-03-20 19:16:01,商品S,1900,堀江佑
2019-05-18 19:16:53,商品 a,,深井照生
2019-04-18 00:14:21,商品V,2200,牧田玲那
2019-01-10 15:51:01,商品O,1500,堀北雅彦
2019-01-28 10:47:03,商品A,100,大地礼子
2019-06-21 01:54:35,商 品U,2100,矢部惇
2019-06-08 11:32:25,商品L,1200,岡田敏也
2019-04-08 02:00:44,商  品V,2200,浅見広司
2019-06-19 09:50:52,商 品O,1500,熊井憲史
2019-06-11 12:57:24,商品A,,黄川田博之
2019-04-21 00:11:43,商品C,300,尾形小雁
2019-03-28 23:24:46,商品V,2200,神原美嘉
2019-04-06 12:00:53,商品I,900,若杉徹
2019-07-16 05:55:57,商品r,1800,石渡小雁
2019-07-03 07:04:05,商品X,2400,東光博
2019-07-05 10:49:13,商品O,1500,日野夏希
2019-06-10 19:07:23,商品 g,700,黒谷長利
2019-07-10 20:28:12,商品X,2400,田辺光洋
2019-07-10 12:44:10,商品R,1800,戸塚美幸
2019-02-14 01:30:09,商品P,1600,榊原しぼり
2019-04-18 01:50:16,商品Q,1700,浅田賢二
2019-05-16 04:45:21,商品y,2500,明石家明
2019-05-26 10:58:00,商品P,1600,手塚進
2019-01-04 12:05:04,商品P,,堀江佑
2019-02-11 18:32:05,商品R,1800,荻野愛
2019-03-02 08:52:28,商品P,1600,菅原誠治
2019-06-29 10:01:52,商品 A,100,石田佑
2019-04-24 17:44:17,商品N,,片瀬長利
2019-03-28 14:18:18,商品R,1800,岡慶太
2019-01-18 00:54:58,商品W,2300,鈴木一哉
2019-01-12 03:26:36,商品A,100,小平陽子
2019-07-27 00:08:48,商 品E,500,尾形小雁
2019-03-22 11:16:00,商品K,1100,原口俊二
2019-05-07 02:58:40,商品O,1500,井川真悠子
2019-02-04 18:23:22,商品W,,金森なつみ
2019-03-22 18:36:47,商品O,1500,堀江佑
2019-05-24 21:39:20,商品K,1100,本多フミヤ
2019-07-29 00:17:11,商品B,200,唐沢涼
2019-07-25 00:59:37,商品F,600,金森なつみ
2019-05-14 08:37:32,商品P,1600,中田美智子
2019-07-13 04:50:21,商品X,2400,松谷愛子
2019-02-14 03:26:40,商品B,200,南部慶二
2019-01-17 17:36:01,商 品s,1900,黒谷長利
2019-03-10 15:16:10,商品F,600,日野夏希
2019-06-27 02:36:37,商品X,2400,深沢ひろ子
2019-04-28 15:43:45,  商品W,2300,堀北雅彦
2019-01-02 13:26:23, 商 品 n,1400,五十嵐春樹
2019-02-04 18:06:39,商品Q,1700,白井俊二
2019-05-14 16:02:35,商品P,1600,芦田博之
2019-04-19 18:15:46,商品I,900,楠高史
2019-03-12 06:07:54,商 品F,600,熊井憲史
2019-06-02 05:32:51,商品D,400,堀北雅彦
2019-07-06 04:39:23,商品R,,石崎幸子
2019-02-01 02:17:54,商品M,1300,本橋直人
2019-06-29 10:30:57,商品M,1300,杉下悟志
2019-02-07 19:34:14,商品Q,1700,浅見広司
2019-02-11 17:00:37,商品A,100,原口俊二
2019-01-17 04:24:21,商品Y,2500,佐藤慶二
2019-06-25 16:31:43,商品I,,神原美嘉
2019-07-01 11:27:25,商品U,2100,高沢美咲
2019-03-28 07:57:34,商品H,800,石田郁恵
2019-07-12 00:36:36,商品P,1600,秋葉あき
2019-07-15 08:24:09,商品P,1600,久保田倫子
2019-03-09 13:03:54,商品T,2000,矢部夏空
2019-07-14 10:48:53,商品Y,2500,植村遥
2019-05-15 06:22:05,商品W,,高梨結衣
2019-03-12 02:01:53,商品M,1300,小口豊
2019-03-09 01:23:37,商品V,2200,川島友以乃
2019-06-23 14:25:17,商品D,400,市田寿明
2019-06-17 02:32:09,商品J,1000,梅津淳子
2019-07-20 22:12:46,商 品O,1500,有馬徹平
2019-06-10 18:21:25,商品L,,芳賀希
